speakers,dialogue
penny,"Okay, that, that’s great. You can stop trying to make me feel better now."
sheldon,"Actually, I can’t. Before Leonard left, he made me promise that I’d take care of you."
penny,He did?
sheldon,Yes.
penny,"Oh, that’s really sweet."
sheldon,"Plus, if I do a good job, he said he’d bring me back a sailor’s cap."
penny,"Well, now I miss him even more."
sheldon,"Well, if it’s any consolation, I’m sure Leonard’s tormented every moment he’s away from your warm embrace and cherry lips."
penny,Thanks.
sheldon,"Oh, seriously?"
raj,"Uh, excuse me, Mrs. Davis?"
raj,"I’d like to apologize for being insensitive. And for possibly making penguins seem like jerks, because 99% of them are stand-up guys."
raj,"You know, you, you and I, you and I have a lot in common."
raj,"Oh, yes, I, I too am in the throes of heartbreak. Okay, fine, I’ll tell you about it."
sheldon,Here is a hot beverage to comfort you. It’s in a to-go cup. Make of that what you will.
penny,Come on. It’s still early. Let’s do something.
sheldon,"Well, I have been toying around with an idea for 4D chess."
penny,How about we just talk?
sheldon,All right. In 4D chess…
penny,"No. Come on, let’s talk about our lives. Tell me something about you I don’t know."
sheldon,I own nine pairs of pants.
penny,"Okay, that, that’s a good start, but I was thinking maybe something a little more personal."
sheldon,I see. I own nine pairs of underpants.
penny,How about I go first?
sheldon,"But I don’t want to know how many underpants you own. Although, based on the floor of your bedroom, I’d say it’s a thousand."
penny,"Okay, look, here’s something people do not know about me. When I first moved out to L.A., I did a topless scene in a low-budget horror movie about a killer gorilla. Ugh! After I did it, I felt so ashamed. Thankfully, that thing never came out."
sheldon,I’ve seen that. Yeah. Serial Apeist. Howard found it online the day we met you.
penny,"Oh, God."
sheldon,"And it was literally the moment you walked out the door. But I see the type of personal revelations you’re going for. Okay, here’s one I thought I’d take to the grave."
penny,Okay.
sheldon,"Hmm. A while back, YouTube changed its user interface from a star-based rating system to a thumbs-up rating system. I tell people I’m okay with it, but I’m really not."
penny,That’s your big revelation?
sheldon,"Yes. Whew, I feel ten pounds lighter."
penny,"Okay, you know what? I give up. I’m going to bed."
sheldon,Here’s something else you don’t know about me. You just hurt my feelings.
penny,What did I do?
sheldon,"I opened up and shared something deeply upsetting to me, and you treated it as if it were nothing."
penny,"I, I didn’t think it was a big deal."
sheldon,It is to me; that’s the point.
penny,"Sheldon, you are right. I’m really sorry. I should’ve known better."
sheldon,Your apology is accepted.
penny,Thank you. How about a hug?
sheldon,How about a hearty handshake?
penny,Come on.
sheldon,Now I know how you felt getting mauled by that sex-crazed gorilla.
bernadette,Good night.
amy,Mm-hmm. It was rather flattering to have strangers send us drinks.
bernadette,"Yeah, that felt nice."
amy,Maybe tomorrow morning we put on some hot pants and see if we can score us some free omelettes.
bernadette,"So, hypothetically, if, if we were to have gone with them, which one would you have picked?"
amy,I think I would have gone with the short one with the goofy haircut.
bernadette,"Oh, good, ’cause I liked the tall thin one. He seemed intelligent, kind of a loner, maybe a little sexually inexperienced, like I’d have to teach him a thing or two."
amy,"Not my guy. I caught him staring at my rack. It’d be nice to be with a man who wants to know what’s underneath my cardigan. FYI, it’s another cardigan."
bernadette,Your short sexed-up guy kind of sounds like Howard.
amy,Your brainy virgin kind of sounds like Sheldon.
raj,"Yeah, I can relate to being a single parent. I have a dog."
raj,"Mrs. Davis, I, uh, I must confess, I came here tonight in a futile attempt to pick up some lonely postdoc, but instead I got to connect with you at a human level. That’s a much better evening. You’re a lovely person."
raj,"No, no, no, that would be crazy. I mean, if I were hitting on you, you’d know it ’cause you’d feel uncomfortable and a little sad for me."
raj,Good night.
howard,Looks like she accepted your apology.
raj,And then some. I think we had a moment.
howard,"Oh, please, you did not have a moment."
raj,Who died and made you king of moments?
howard,"Okay, fine. Let’s say there was a moment."
raj,There was.
howard,"There wasn’t. But, but even if there was, what are you gonna do about it?"
raj,"I will slowly seduce her until she falls helpless into my bed, hungry for the pleasure only I can give her."
howard,So nothing.
raj,"No, not a thing."
penny,"Ah, I’m so glad the police finally caught that psychotic genetically engineered ape."
leonard,That is my girlfriend. I swear to God.
penny,Aaaaaaah!
sheldon,And here’s another interesting weather fact.
penny,Another? Great.
sheldon,"Changes in jet streams can affect the speed at which the Earth rotates on its axis, so bad weather can actually make the day longer."
penny,"Well, there must be a hell of a storm somewhere."
sheldon,"Joke if you must, but you’re going to miss these moments. With Leonard home in a few days, this was your last time driving me to the grocery store."
penny,"You know, I will miss this."
sheldon,"I’ll tell you what, if my apples are mealy, we’ll hit the produce section for one last crazy blowout. Heck, you can even push the cart. Please don’t take my looking forward to Leonard’s return as criticism of the job you’ve been doing in his absence."
penny,I won’t.
sheldon,That criticism will come later in your report card.
penny,"Yeah, I didn’t stay for the detention, I’m not gonna read the report card."
leonard,Hello.
penny,Leonard! Hi!
leonard,Keep your voice down.
penny,"Oh, my God. You weren’t supposed to be here till Sunday."
leonard,"We finished the experiment early, so I thought I’d come home and surprise you."
penny,"Oh, my gosh, why are we whispering?"
leonard,"I didn’t tell Sheldon, so we could have a few days alone."
penny,"Oh, that is so romantic."
leonard,"Uh, sure, that’s why I did it."
penny,"Oh, I just cannot believe you’re here."
sheldon,"Penny, it’s your lucky day. Three of the eggs are clearly not jumbo. Grab your keys."
sheldon,"Uh, Stuart, I was wondering if you could help me find something."
sheldon,"Oh, you make me laugh, sad clown. Anyhoo, Leonard will be back in a couple days and I need a welcome home gift for him. As he’s been at sea, perhaps something with a nautical theme might be appropriate."
sheldon,"Aquaman? Oh, this isn’t a gag gift, Stuart."
sheldon,I’m a real collector. How rare is it?
sheldon,Don’t try and trick me into buying something I don’t want. Now let’s talk Aquaman. 
howard,"What were they thinking, putting Doctor Octopus’s mind in Spider-Man’s body?"
raj,"Well, I’ve been quite enjoying that. It combines all the superhero fun of Spider-Man with all the body-switching shenanigans of Freaky Friday. Both versions, original and Lohan."
howard,Both versions
raj,"Hey, what’s your problem?"
howard,"I’m sorry, I’ve been kind of snippy lately. It’s probably this stupid diet I’m on."
raj,Why are you on a diet?
howard,I’ve put on a couple pounds. Had to buy these pants in the men’s section.
raj,"Well, we’ve all seen your mom. That Butterball turkey was bound to come home to roost."
sheldon,Twelve hundred dollars. That’s my final offer.
sheldon,"Oh, right, a present for Leonard. You better throw in that squirt gun."
sheldon,Oh.
leonard,And this is me doing the Titanic pose on the boat.
penny,Ah.
leonard,"And, oh, that’s me getting rescued after I fell in."
penny,"Oh.  Oh, that’s the pizza."
leonard,Yep. Here’s some money.
penny,Thank you.
leonard,And I’m gonna hit the head. That’s what us salty sea dogs say when we have to go pee-pee.
penny,Hey.
penny,"Okay, here’s, uh, twenty-five. Keep the change."
penny,"Oh. Okay. Well, here’s, um, thirty something cents and a promise I won’t call your boss and tell him you reek of marijuana."
sheldon,"Oh, Penny, I see you’ve ordered pizza. I have Chinese food. "
penny,That’s nice.
sheldon,"Oh, that’s a rather earthy cologne. My uncle used to wear that. Perhaps we can enjoy one last meal together before Leonard returns."
penny,"Yeah, thanks, but I kind of feel like eating alone tonight, so…"
sheldon,"Are you sure? With your Italian pizza and my Chinese noodles, we could play Marco Polo. I mean, of course, a re-enactment of a meal in the life of Marco Polo the Venetian explorer, not Marco Polo the terrifying water sport."
penny,"Uh, yeah, it sounds fun, but no thanks.  Have a good night!"
sheldon,"What, now, do you have company?"
penny,"No. No, no, no. You know what? The toilet’s been doing that. I called the building manager, so…"
sheldon,"Oh, I can take a look at it."
penny,Well…
sheldon,"I’m quite familiar with plumbing. Not to brag, but I spent most of fifth grade with my head in a toilet."
penny,"Yeah, no, no, no. You know what, Sheldon, it’s okay. You don’t have to go into the bathroom."
sheldon,"That’s curious. If there’s no one here, why are there two glasses of wine on the table?"
penny,"Oh. Well, you know, I, I’ve got two hands and a bit of a drinking problem."
sheldon,Of course. Ask a silly question. 
penny,Oh. 
sheldon,That’s odd.
penny,"Um, what?"
sheldon,There are takeout containers in the trash can.
penny,So? That’s my dinner from last night.
sheldon,What’s odd is they’re in the trash can.
penny,"Okay. Look, honey, I promise there’s no one’s here. I‘ve had a long day. I just want to have a quiet dinner by myself."
sheldon,"Oh, very well. I’m no stranger to enjoying the pleasures of solitude. Oh!"
penny,What?
sheldon,Have you gotten Leonard a welcome-home gift yet?
penny,No.
sheldon,"Oh, great. Do you want to go halfsies on a two hundred dollar squirt gun?"
bernadette,"Hi, honey."
howard,Hey.
bernadette,I made some brownies. You want one?
howard,"You’re kidding, right? I mean, you know I’m trying to lose weight. God, I thought we were partners in this marriage."
bernadette,"We are. Stop it. And for the last time, you’re not fat."
howard,"Really? Tell that to the bathroom scale, ’cause one of you is lying."
bernadette,"Fine, forget I asked. How was dinner at your mom’s?"
howard,Awful. I had to rub her ointment all over her again.
bernadette,Why can’t she do it?
howard,"‘Cause we’ve got a deeply unhealthy relationship. Which reminds me, do you think you can get any samples of this from work? This was supposed to last her a month, but they didn’t take into account the square footage of her back."
bernadette,Let me see. How long have you been putting this on her?
howard,I don’t know. Few weeks. Why?
bernadette,This is really strong oestrogen cream. Please tell me you’ve been wearing gloves.
howard,Like these swollen sausages could fit in gloves.
bernadette,"Howie, the oestrogen’s getting absorbed by your skin. That’s why you’ve been all bloated and moody and a giant pain in the ass. "
howard,You’re full of oestrogen and you don’t act like that.
bernadette,That’s ’cause I’m a woman. I’ve had years of practice riding the dragon.
howard,Fine. I’ll wear gloves next time.
bernadette,It’s still gonna take a few weeks for the hormones to leave your system.
howard,I feel so stupid. And fat.
bernadette,"It’s okay. You still look great to me. In fact, why don’t we go in the bedroom and I’ll prove it to you?"
howard,"Sex? Really? I mean, that’s just your solution to everything. "
amy,"Oh, and here’s a fun thing. I worked it out so that there are two different words for spoon, planko and janko. Planko is a spoon with food, janko is a spoon without food. Janko is spelled with a silent ptang. Sheldon, you’re not even listening to the rules of my made-up language."
sheldon,"Yes, I am."
amy,Then what does tweepadock mean?
sheldon,"Uh, elephant?"
amy,Lucky guess.
sheldon,I’m sorry. I’m just distracted by something that happened over at Penny’s.
amy,What happened?
sheldon,I fear Penny is being unfaithful to Leonard.
amy,What?
sheldon,"She claimed to be alone when there was obviously someone else in her apartment. I have no choice but to assume the worst, given Leonard’s lengthy sea voyage and her famously ravenous nether regions."
amy,I don’t think Penny would cheat on Leonard.
sheldon,"Oh, really? She and I once had a staring contest. She clapped really loud and made me blink. It’s a small leap from there to sexual infidelity."
amy,You’re being ridiculous.
sheldon,"Amy, there were Chinese food containers in the trash can."
amy,Poor Leonard.
amy,Do you hear anything?
sheldon,I hear a woman’s voice.
amy,Is it Penny?
sheldon,"No, it’s you. All right, I hear whispering and giggling. Now I think I hear kissing."
amy,"Yeah, like you know what kissing sounds like."
sheldon,"There’s kissing in Star Trek, smarty-pants."
amy,Let me listen. Sounds like Leonard.
sheldon,"Please. Why would Leonard come home early and waste his time kissing Penny when he could be hanging out with his best buddy? Yeah, that’s it. I’m catching her in the act. "
amy,"No, Sheldon, don’t."
sheldon,Aha. 
penny,What the hell?
sheldon,Leonard?
penny,"Sheldon, you cannot just barge in here like that. "
sheldon,Right.  Penny. Are you going to answer the door or should I open it and say aha again?
leonard,"I’m sorry, Sheldon. I should’ve told you I was back. I just wanted to have a couple days alone with Penny."
sheldon,"Oh, no, I should apologize. Uh, I never realized to what extent our friendship was a burden to you."
leonard,That is not fair. I complain about what a burden it is at least once a month.
sheldon,"Oh, no, no, let’s not sugarcoat this. You find me finicky, pedantic and annoying."
penny,"No, he doesn’t."
leonard,I actually have used those exact words before. In that order.
sheldon,"Well, Leonard, I think it’s high time you and I address the tweepadock in the room."
leonard,The what?
sheldon,Amy?
amy,Please leave me out of this.
sheldon,"Fine. Leonard, there’s no need for you to pretend to like me anymore."
leonard,"Come on, I said I was sorry."
sheldon,"No, no, you save your apologies for after you’ve had disappointing coitus with Penny."
penny,It was fine.
leonard,"Come on, this is silly. Hey, um, I brought you back a little present from my trip, huh? It’s that sailor cap that you wanted. It’s neat, huh?"
sheldon,You honestly think you can buy back my friendship with a cheap souvenir?
leonard,"I don’t. I really don’t. Just try it on. Oh, yeah."
amy,"Hello, sailor."
penny,"Ooh, now we’re talking."
sheldon,"Excuse me. This changes nothing. Except the Halloween costume I’m wearing this year. Amy, you’re going to be Olive Oyl. Lay off the doughnuts."
howard,Thanks for coming over.
raj,"No problem. Ooh, you made little sandwiches."
howard,"Yeah, that’s cucumber and cream cheese. That’s turkey and loganberry. And don’t tell my hips, but I’m warming up a brie in the oven."
raj,"Nice. So, mmm. What’s up?"
howard,"Okay, well, I’ve been reading up on all the side effects you can get from oestrogen, and, I need you to be honest with me. Do my boobs look bigger to you?"
raj,"Well, it’s kind of hard to tell. "
howard,"Come on, Raj, it’s a yes or no question."
raj,"I’m not sure. Um, wait. Jump up and down, let’s see if they jiggle. Uh, no, I, I still can’t tell, uh, oh, you know what? Okay, uh, give me some of this."
howard,Seriously?
raj,Do you want my help or not?
howard,Fine.
raj,"Okay, yup. See, see, that, that looks like, that looks like they could be bigger. But you know, I bet, I bet when I do it, mine do the same thing."
howard,"Yeah, they kind of do."
raj,"Hmm. Uh, let me see something. "
howard,"Hey, easy, my nipples are sensitive."
raj,"Oh. Sorry, sorry, uh, okay.  I mean, yeah, maybe."
howard,"Okay, let me feel. No, I am definitely up a cup size. "
raj,"You know, but, but they’re very firm, so you’ve got that going for you."
howard,You think?
raj,"Yeah, yeah, yeah, very perky."
howard,"Thank you. I really needed to hear that today.  Ooh, brie’s ready."
raj,Yay.
leonard,Good morning.
sheldon,Hello.
leonard,So am I driving you to work or are you still mad at me?
sheldon,I’d like a ride. Assuming you actually do take me to work.
leonard,Where do you think I would take you?
sheldon,"Who knows? Uh, you said you’d be home yesterday, but you came home three days ago. You say you’re taking me to work, but for all I know, I’ll end up in a deserted amusement park. Or a cornfield maze. Or a back alley dog fight. You tell me."
leonard,I’m going to work. You can come if you want.
sheldon,"Okay. By the way, you have something on your shirt."
leonard,"No, I don’t."
sheldon,"Hurts, doesn’t it? You know, I find myself wondering if anything you’ve ever told me is true."
leonard,"I didn’t make it back. The ship sank, I’m in hell."
sheldon,"You say you’re from New Jersey, but how can I believe you?"
leonard,Why would anyone claim to be from New Jersey if they weren’t?
sheldon,"All right, I’ll give you that one."
leonard,"Hey, I said I was sorry. What else do you want from me?"
sheldon,I want you to admit that what you did was wrong.
leonard,Fine. What I did was wrong.
sheldon,I wish I could believe you.
leonard,"You know what? I’m not driving you to work, because you’re incredibly annoying."
sheldon,"You say one thing and do the other, so then you are driving me and you find me a delight."
leonard,Stop it.
sheldon,Keep it up?
leonard,Bye.
sheldon,Hello. So I guess you’re really holding up the other four fingers?
penny,"Oh, hey, what are you doing here so early?"
amy,Driving Sheldon to work.
penny,"He’s still mad at Leonard, huh?"
amy,"Well, he’s mad at you, too. He says you’re the succubus who led his friend astray."
penny,"I don’t know what succubus is, but it has suck in it, so that can’t be good."
sheldon,Thought I heard you out here.
penny,"Hey, Sheldon."
sheldon,You don’t get a hey. You get a hmm.
penny,"Come on, don’t be like that. We had so much fun together the last couple of months."
sheldon,You’re right. Which makes your betrayal all the more devastating.
penny,Sheldon.
sheldon,I let you buy feminine hygiene products with my supermarket club card. You have any idea the kind of coupons I’m going to get in the mail now?
amy,"Sheldon, your fight’s with Leonard. Penny’s got nothing to do…"
sheldon,"Careful, Amy. The friend of my enemy’s girlfriend is my enemy. "
amy,Really?
sheldon,Yes. You’re either with me or against me.
amy,You want to take the bus to work?
sheldon,Maybe there’s a third option.
amy,"FYI, I had a doughnut for breakfast, you jerk."
leonard,"So now we’re just waiting for the data from the ship to be crunched, but the numbers look pretty promising."
howard,"That’s so great. If you guys prove the existence of Unruh radiation… Hey, hey, hey, hey. My eyes are up here."
sheldon,"Howard, Raj. Judas."
leonard,You know what? You’re a crazy person.
sheldon,"A crazy person with a long memory, and if all goes according to plan, a robot army."
howard,Stop it.
sheldon,Or a mutant army. It depends on how my Kickstarter goes.
howard,"I said, stop it. Now, listen to me. You two aren’t just friends. You’re best friends. And that’s a beautiful thing. I mean, Leonard, you know why he’s so mad at you? It’s ’cause he missed you. Yeah, and as his friend, you should be happy he has love in his life. As I do. This man held my breast the other day and I love him for it."
raj,"A little loud, dude."
howard,"So, can we please put aside these petty differences and just be glad we’re here together?"
leonard,Okay.
sheldon,I suppose so.
howard,Thank you.
raj,"Uh, it wasn’t anything weird. It was just to see how big they were."
sheldon,"And then Leonard took me to the barber and the dentist, and then to cap off the perfect day, the Los Angeles Bureau of Weights and Measures. "
leonard,"I thought the measures were going to be the stars of the show, turns out it was the weights."
penny,I’m so glad you guys are friends again.
sheldon,"And I’m glad you and I are friends again, too."
penny,Aw.
sheldon,"Which reminds me. This came in the mail, and I want you to have it."
penny,Fifty cents off Vagisil.
sheldon,Think of me when you apply it.
raj,"Uh, can I just say, I’ve missed all of us hanging out together."
sheldon,Yeah.
penny,"Me, too."
leonard,"Um, since when can Koothrappali talk in front of the girls without a beer?"
bernadette,"Oh, that happened right after you left."
leonard,And no one told me?
howard,Can’t believe we forgot to tell him.
penny,Think of Sheldon when you apply it.
raj,"So, couldn’t help but notice none of you RSVP’d to my murder mystery dinner party."
leonard,"Oh, yeah. We were meaning to do that."
raj,"No, you weren’t because it was a week ago and nobody came. So, if you want to solve the mystery of who stabbed Koothrappali in the back with the weapon of indifference, it was all of you."
sheldon,"I don’t think thatqualifies as a mystery, we all knew what we were doing."
amy,"We’re sorry, Rajesh. "
bernadette,Maybe we can do it next week.
howard,"Whoa, whoa, we’re not that sorry."
raj,"Don’t worry, I can take a hint. No more murder mystery parties."
leonard,Great. 
sheldon,Thank you.
howard,Hallelujah.
raj,Because I’ve got something even better planned.
leonard,Aw.
howard,Why?
sheldon,Come on.
raj,Just hear me out. I’m going to make you guys a scavenger hunt like they have at M.I.T.
howard,"Oh, I loved those. I did them every year there."
leonard,"We did them at Princeton, too."
howard,"Oh, that’s cute. Like it’s a real college."
sheldon,"That’s amusing, I was going to say that about M.I.T., but it works for Princeton, too."
amy,"Scavenger hunts at Harvard were really tough. I always got stuck on the first challenge, trying to find someone to be on a team with me. I guess that story’s more sad than funny."
penny,I love scavenger hunts. My friends and I had them all the time.
leonard,"Oh, these are a little different. There’s a tradition at elite universities…"
howard,And Princeton.
leonard,"A tradition of hunts full of puzzles that rely on logic and obscure knowledge, science."
penny,"Oh, in ours we would just run around town looking for a store that would sell us beer."
raj,"So, uh, who’s in?"
leonard,I think it sounds fun.
amy,"Yeah, me, too."
sheldon,I’m sorry. Are we really doing this or are we tricking Koothrappali again like with the dinner party?
leonard,What’s all this?
sheldon,"Oh, everything I could possibly need to win the scavenger hunt."
leonard,You really think he’s gonna send us to a bowling alley?
sheldon,"Well, if he does, do you know how filthy those rental balls are? They might as well stand on the corner and give away free rectal exams."
raj,"Okay, everybody. Who’s ready for a scavenger hunt?  each, each puzzle will lead you to the location of the next, the last of which will lead you to the coin. The first team that finds it wins."
sheldon,He is a born showman.
raj,Any questions?
howard,"Yes, to be fair, do people who went to Princeton get a head start?"
leonard,It’s not funny.
sheldon,"No, Oh, it actually is if you get the joke. It’s based on the premise that Princeton isn’t a very good school. "
leonard,Ha-ha.
sheldon,"Oh, see? Now he gets it."
raj,"Okay, guys, go ahead and divide yourselves into teams of two."
bernadette,Should we just do couples?
leonard,Couples sounds great. Or we could mix things up. Maybe pick names out of a hat. Whatever.
penny,"Whoa, whoa, whoa. Why don’t you just admit you don’t want to be on a team with me."
leonard,"I just said, couples sound great."
penny,"Mm-hmm, yeah, you don’t think I’m smart enough. You think I’m gonna be a liability. Even though I totally just used the word liability correctly in a sentence. Yeah."
leonard,"All right, let’s, let’s do couples. I want to."
penny,"No, no. Let’s mix things up. I choose Sheldon, and we’re gonna kick your ass!"
sheldon,Really? The only time I’m ever picked first for a team and I’m stuck with the liability?
amy,Stop that. Penny is not a liability.
penny,Thank you. Do you want to be on my team?
amy,Maybe we pick names out of a hat.
penny,"All right, hurry up and close the door so they can’t hear us. Would you stop pouting? So, you picked my name. Get over it."
sheldon,"Yes, and do you know what the odds are I’d pick your name?"
penny,No.
sheldon,"It’s not hard, one in five. Now you know why I’m pouting."
raj,"All right, teams. Get ready to open your first puzzle. Go. Do you see what I did? The first puzzle is a puzzle. Oh, my God, how adorable is that? I wish I had a friend like me."
sheldon,What are you doing? You have to start with the edges.
penny,"Well, there’s no right way, Sheldon. I already found a few pieces that fit."
sheldon,"Yeah, well, take them apart and start with the edges. And stop wasting time."
