speakers,dialogue
ross, I think I have an old band uniform from high school.
rachel," You remember not having sex in high school, right?"
ross, Yeah.
rachel," Well honey, what about you?"
ross, What?
rachel," I mean do you have any fun, you know, fantasy type things?"
ross, No.
rachel, Come on you gotta have one!
ross, Nope.
rachel," Ross, you know what..."
ross, What?
rachel," ...if you tell me, I might do it."
ross," Okay, umm. Did you ever see, um, Return Of The Jedi?"
rachel, Yeah.
ross," Do you remember the scene with, um, Jabba the Hut? Well Jabba had as, as his prisoner, um, Princess Leia. "
rachel, Oooh!
ross," Princess Leia, was wearing this, um, gold bikini thing. It was pretty cool."
phoebe," Yeah, oh, Princess Leia and the gold bikini, every guy our age loved that."
rachel, Really!
phoebe," Um, um. It's huge. Yeah, that's the moment, when-when, you know she stopped being a princess, and became, like, a woman, you know."
rachel, Did you ever do the-the Leia thing?
phoebe," Oh, yeah, um-mm. Oh!"
rachel, Really! That-that great huh?
phoebe, No it's just that I got this new pager and I have it on vibrate. See ya!
ross,  Hey!
rachel, Hi you guys!
ross, Look who I found standing outside of the Szechwan Dragon staring at a parking meter.
rachel, Mon. Hi! 
monica, Hi.
rachel, Why aren't you at work?
monica," Oh, they-they sent me home."
rachel, Why?
monica, Because I don't work at the Szechwan Dragon.
ross, Okay.
rachel," You really, really need to get some sleep, honey."
monica, I know I do.
ross, Hi.
rachel, Hi.
ross, Guess what?
rachel, What?
ross, They published my paper.
rachel," Oh, really, let me see, let me see."
phoebe," Rach, look!  Oh, hi! Where is my strong Ross Skywalker to come rescue me."
chandler, Hey!
joey, Wheel!
chandler, Of!
joey, Fortune! This guy is so stupid.  It's Count Rushmore!!
chandler," You know, you should really go on this show. All right, listen, I got three tickets to the Rangers tonight. What'd ya' say?"
joey," I say, 'I am there!' Cool! Aw, is Ross going to?"
chandler," No, Janice."
joey," Jan-ice. 'Cause I, just, I feel bad for Ross, you know, we-we always go together, we're like the three hocke-teers."
chandler," You know, I may be way out on a limb here, but do you, do you, have a problem with Janice?"
joey," No, Yeeees. God, how do I say this. ?"
chandler," Ooh, that girl that I hate, eww, drives me crazy, eww, eww, oh!"
joey," Look, I don't hate Janice, she's-she's just a lot to take, you know."
chandler," Well, there you go."
joey," Oh, hey. Come on man, don't look at me like that, she used to drive you nuts before too, remember?"
chandler," Well, I'm crazy about her now. I think this could be the real thing. Capital 'R'! Capital 'T'!  Don't worry, those are the right letters."
joey," Look, what do you want me to say?"
chandler, I want you to say that you like her!
joey," I can't. It's like this chemical thing, you know. Every time she starts laughing, I just wanna  pull my arm off just so that I can have something to throw at her. "
chandler," Thanks for trying.  Oh, and by the way there is no Count Rushmore!"
joey," Yeah, then-then who's the guy that painted the faces on the mountain?"
ross, How could you have told her? 
rachel," Ross, I didn't think it would that big of a deal."
ross," Oh, she didn't think it would be that big of deal."
rachel," Okay, who are you talking to when you do that?"
ross," Look, that was supposed to be like a private, personal thing between us."
rachel," Okay, Ross, Phoebe is my girlfriend, okay, we tell each other everything. You know, I mean, come on, guys do the same thing, I mean, what about all that locker room stuff."
ross," That's different, okay. That's like, uh 'Who dated a stripper?' or 'Who did it on the back of the Staton Island Ferry?'."
rachel, Were both of those Joey?
ross," Yeah. Look, you don't, you don't talk about like, you know, your girlfriend and the intimate stuff you, you do with her."
rachel, Not even with your best friend.
ross, Noo!
rachel," That is so sad. Your missing out on so much, Ross. I mean, the bonding and the sharing, you know. And-and knowing that someone else is going through the same thing you are."
ross," Hmph. So what you, you tell each other everything?"
rachel, Pretty much.
ross, Did you talk about the night of five times? Do you tell people about the night of five times? 
rachel," Uh, honey, yeah that was with Carol."
ross," I know, but it's still worth mentioning, I think."
phoebe,"  Relax every muscle in your body. Listen to the plinky-plunky music. Okay, now close you eyes, and think of a happy place. Okay, tell me your happy place."
monica," Richard's living room, drinking wine."
phoebe," All right. No, no, no, not a Richard thing, just put down the glass. And get out!"
monica," I'm sorry, but that's my happy place."
phoebe," Well, okay, fine, use my happy place. Okay, I'm just gonna, I have to ask that you don't move anything."
monica," All right, I'll try not to."
phoebe," Okay, all right, so, your in a meadow, millions of stars in the sky...."
monica, Do you think breaking up with him was a huge mistake?
phoebe," All right, there are no questions in the happy place. Okay, just, the warm breeze, and the moonlight flowing through the trees...."
monica," I'll bet he's totally over me, I'll bet he's fine."
phoebe," All right, betting and wagering of any kind, are, I'm sure, not permitted in the happy place. Okay. Just-just, you know, the-the lovely waterfalls, and the, the trickling fountains. And the-the calming sounds of the babbling brook...."
monica," Okay, this isn't working. I'm still awake and now I have to pee."
joey," I, ah, I never said hate, I was very careful about that."
joey, And you got a 'hate' from that?! Your taking a big leap there...
joey, But what does that gonna do...
joey, Okay. I'm in.
joey, Does it have to be a whole day?
joey," Yeah, I know, I sleep in the next room."
monica,"  So, I went down to the post office, and it turns out it was those videos that I ordered for Richard about the Civil War. He loved the Civil War."
phoebe," Monica, do you want us to take you home?"
monica," Uh, huh. "
ross, Women tell each other everything. Did you know that?
chandler," Umm, yeah."
ross," No Chandler, everything! Like stuff you like, stuff she likes, technique, stamina, girth...."
chandler," Girth? Why, why, why, wh-why, why, why, why would they do this? "
ross," Rachel says sharing's great and supposedly, you know, we outta be doing it. Do you wanna?"
chandler, We're not gonna talk about girth are we?
ross, Nooo!
chandler," Yeah, okay."
ross, Yeah?
chandler, Yeah! All right! You go first.
ross," Okay, okay, I'll go first."
chandler, Okay.
ross," So, uh, the other night Rachel and I are in bed talking about fantasies, and I happened to describe a particular Star Wars thing...."
chandler, Princess Leia in the gold bikini.
ross, Yes! 
chandler, I know!
ross," Yes! Wow, well, that-that was easy. Okay, you-you go."
chandler, Okay.
ross, Okay.
chandler," Okay, you know, you know when your in bed, with a woman."
ross, Hmph.
chandler," And, ah, you know, your fooling around with her. And you get all these like, mental images in your brain, you know, like Elle MacPherson, or that girl at the Xerox place...."
ross," With the belly-button ring? Oh, muhawa!"
chandler," I know, And then all of the sudden your Mom pops into your head. And your like 'Mom, get outta here!' You know, but of course, like, after that you can't possibly think of anything else, and you can't, you know, stop what your doing. So it's kinda like, you're, you know. You know.... You don't know!"
ross," Your Mom, your telling me, your telling me, about your Mom, what is the matter with you?"
chandler, You said...
ross, I said 'share' not 'scare'. Go sit over there! .
joey, Hey!
chandler, What are you guys doing together?
chandler, Really.
joey," Yeah, yeah. We went to a Mets game, we got Chinese food, and you know, I love this woman. You have got competition buddy."
chandler, You still can't stand her can you?
joey," I'm sorry man, I tired, I really did."
chandler," Well, you know, I appreciate you giving it a shot."
joey," But, hey, look, you know the good thing is, is that we spent the whole day together and I survived, and what's even more amazing, so did she. It was bat day at Shea Stadium."
chandler," Well, I guess that's something."
joey," No man, that's huge! Now, I know I can stand to be around her, which means I get to hang out with you, which is kinda the whole point, anyway."
chandler, Okay.
joey," Oh, hey, Chandler, we, ah, we stopped by the coffee shop and ran into Ross."
chandler, Oh God!
joey," Hey, if it makes you feel any better, I do it too."
chandler, Really?
joey," Oh yeah, I always picture your Mom when I'm having sex."
monica," Hi, Dad, what are you doing here?"
monica," I don't, I just, I just like the smell of them. So, uh, what are you really doing here Dad?"
monica, What makes you think that I might not be okay?
monica, Oh.
monica," I'm fine, just a little tired, I'm okay. How's Richard doing?"
monica," No, I really, really do."
monica, Really!
monica, You're not just saying that are you?
monica, Was he crying?
monica," Well, do you think he was waiting 'til after you left, so he could cry?"
monica, I think so.
rachel," Okay, here we go. I'm Jabba's prisoner, and you have a really weird look on your face. What? Honey, what is it? Did I get it wrong? Did I get the hair wrong? What? Did you just picture it differently? What? What?"
ross," No, no it's, um, it's not you, um, it's um, it's "
ross," I hate Chandler, the bastard ruined my life. "
joey," All right they got water, orange juice, and what looks like cider. "
chandler, Taste it.
joey,"  Yep, it's fat. I drank fat!"
chandler," Yeah, I know, I did that two minutes ago."
ross,  Hey!
chandler," Hey, mister tux!"
ross, Why aren't you guys dressed?
joey, We have a half hour.
ross," No, four minutes ago you had a half hour, we have to be out the door at twenty to eight. "
joey," Relax Ross, we'll be ready. It only takes us two minutes to get dressed."
ross," Well, you know, I'd feel a whole lot better if you got dressed now."
joey, Okay. 
rachel,"  Hey-hey! Oh, look at you, all sexy."
ross, Really.
rachel," Ooooh! Wow!! Oh, hi."
ross, Hi.
rachel, How come you didn't come over earlier?
ross," 'Cause, I'm a stupid, stupid man."
joey," Hey, Ross, want some cider?"
ross," No.  So, um, let's see your pretty close, huh. Make-up's on, hair's done. "
rachel," Yeah, I just have to get dressed."
ross, Yay! And that takes what? Just six or seven minutes.
rachel," Yeah! Once, I figure out what I'm wearing."
joey, Glass of fat?
joey, What's a matter Ross? What you're nervous about your speech?
ross, No! Do you wanna hear it?
joey, Am I in it?
ross," Uh, huh. Yeah, right after I thank everyone for giving money to the museum, I sing a song about the wonder that is Joey."
phoebe,  Hello.
ross, Hey!
joey, Whoa!
ross," Wow, hello! You look great!"
phoebe," Thank you! I know, though."
ross," You see this, this is a person who is ready to go. Phoebe you, oh, you are my star."
phoebe," Ohh, well, you're my lucky penny."
chandler,  Get up.
joey, What?
chandler, You're in my seat.
joey, How is this your seat?
chandler, 'Cause I was sitting there.
joey, But then you left.
chandler," Well, it's not like I went to Spain. I went to the bathroom, you knew I was coming back."
joey," What's the big deal, sit somewhere else."
chandler," The big deal is I was sitting there last, so, that's my seat."
joey," Well, actually the last place you were sitting was in there . Soo..."
ross," You guys, you know what, you know what, it doesn't matter, because you both have to go get dressed before the big vain in my head pops. So.."
chandler," All right, Ross, I just have to do one thing, really quickly, it's not a big deal.  GET UP!!"
monica,  Hi.
monica," Ooh, Phoebe, you look great!"
phoebe, All right all ready.
monica,"  Ooh, are you gonna do magic?"
ross," That's, that's funny. Change!"
monica, Hang on a second I just got in.
ross," Look, I don't care it starts at eight, we can't be late."
phoebe," We could not, would not want to wait."
ross," Look, our table is down in front, okay, my boss is gonna be there, everyone will see if we arrive after it starts."
monica, Has somebody been drinking my fat? 
rachel,  does this look like something the girlfriend of a paleontologist would wear?
phoebe," I don't know, you might be the first one."
monica," Rach, did you check the machine?"
rachel," Uh, no. Wait, you know what, this is the outfit that makes my calves look fat. Nevermind."
chandler," Well, Joey, I wrote a little song today. It's called"
joey, All right! You can have the chair.
chandler, Really!
joey," Oh my, would you look at that! "
phoebe,"  Is that too spooky?"""
ross,"  """"Hi Rach, are you there? It's me, pick up. Rachel. Rach!"""""""
rachel,  What?!
ross, Nevermind.
monica, Is-is-is that message old or new?  Old or new?! Old or new?!
ross," It's old, it's definitely old. Didn't you hear the, the double beep?"
monica," What if it's new? I mean, we agreed not to talk again, unless we had something really important to say. Shouldn't I call him back?"
chandler," Honey, you did call him back. 'Cause, it's, it's really old."
ross," Yeah, see Mon, listen, listen. When Carol and I broke up, I went through the same thing. And you know what I did?"
monica, Huh?
ross," I.....got.....dressed. Really, really quickly. Okay, okay.  There we go, there we go."
chandler," You know what, okay, fine. Don't get up, you just sit right there. I just hope, you don't mind, you know, my hand right here. "
phoebe, Ah! Oh my God! You r-r-rotten boys!
joey, Sorry Phoebe.
joey, I'm so sorry.
phoebe, What am I gonna do?
ross," No, no, don't, don't, rub it! Don't!  What gets out hummus?! What gets out hummus?!"
phoebe," Monica, Monica, you know what gets out hummus."
monica," If it is a new message, what is he calling to say?"
phoebe," Okay, thanks. Yeah, I'll try that."
chandler, Maybe he's calling to say your obsessive and crazy.
monica," So, should I call him back?"
chandler," All right, fine, you know what, we'll both sit in the chair.  I'm soooo, comfortable."
joey," Me too. In fact, I think I might be a little too comfortable."
chandler, All right! 
ross," Okay, look, we have nineteen minutes. Okay, Chandler, I want you to go and change! Okay. And then, when you come back, Joey will go change, and he'll have vacated the chair. Okay. Okay."
chandler," All right! Fine! I'm going. But when I get back it's chair sitting, and I'm the guy who's....sitting in a chair! "
rachel,"  Pheebs, what happened?"
phoebe, Hummus. I got the hummus.
rachel," Ooooh! Honey, well we'll find you something. Do you wanna wear my black jacket? "
phoebe, That won't go with this dress though.
rachel," No, you're right. Well, we'll find something. Let's just get you out of that. Come on."
ross," No, no, no, no, no, no, not out of that, not out of clothes."
rachel," Monica, can Phoebe borrow your green dress?"
monica, I called him.
monica," Yes. Well I got his machine and I left a message. But it's okay, it's okay, it's okay, because you know it was like a casual, breezy message. It was breezy! Oh God, what if it wasn't breezy? "
phoebe," Well, how could it not be breezy, no, 'cause, you're, you're in such a breezy place."
monica," Here, I got it. I'll will play my message for you guys, and you can tell me if it's breezy enough."
joey," Monica, how are you gonna do that?"
monica, I know the code to his answering machine.
ross," Okay, Mon, I really don't think this is the... Okay, you're dialing, you are dialing."
joey," Wow, what a cool job.  'You have two new messages.' 'Please, pass the pie.'"
monica,"  """"Hi, it's Monica. I'm just checking in 'cause I got this message from you and I didn't know if it was old or new or what. So, I'm just checkin'. So let me know, or don't, whatever. I'm breezy."""""""
joey," Hey, you can't say you're breezy, that, that totally negates the breezy."
joey, Now she sounded breezy. Commercial Break
monica, He's seeing someone. I can't believe he's seeing someone.
phoebe," Monica, you don't know that."
monica," Well, who's voice was that?"
chandler," Maybe it was his sister's. You know, maybe it was his daughter's."
monica," Michelle! Of course, it was Michelle! Did it sound like Michelle?"
ross," Oh, great. It's starting to rain, that will make it easy to get a cab."
monica, It was Michelle. It was definitely Michelle.
rachel," Pheebs, you go with Monica and try on her green dress. If that doesn't work, you can wear my gray silk one. Oh, gosh, what am I wearing?!"
ross," You don't, you don't know what your wearing?"
rachel," Well, hon-ey. I'm just trying to look nice for your big night."
ross," Yeah, which, which we have to leave for in exactly twelve minutes. All right, come on, I'll just pick something out for you."
chandler," All right, you will notice that I am fully dressed. I, in turn, have noticed that you are not. So in the words of A. A. Milne, """"Get out of my chair, dillhole!"""""""
joey, Okay. 
chandler, What are you doing?
joey," You said I had to give you the chair, you didn't say anything about the cushions."
chandler, The cushions are the essence of the chair!
joey, That's right! I'm taking the essence.
chandler," Oh-ho, it'll be back. Oh-ho, there's nobody in the room."
ross," Look, I'm sorry, I thought it looked pretty."
rachel," Ross, that was a Halloween costume, unless you would like me to go to this thing as Little Bo Peep."
ross," Look, I didn't recognize it without that inflatable sheep."
rachel," Yeah, which, by the way Chandler, I would like back one of these days."
phoebe," Oh Rach, good, listen isn't this perfect for me! "
rachel," Oh, it's perfect! But not for tonight."
phoebe," Well, of course not for tonight. Yeah, hi!"
ross," Not for tonight. Not for tonight! Wh-what, what, what, are you doing?"
rachel," No honey, we're sorry, we didn't mean it. I love you. I love you."
chandler, We used them as pillows when we went camping.
ross, What?
chandler,  The sheep.
ross," Hey, what you do on your own time..."
joey,  Where's my underwear?!
ross," Whoa, whoa, whoa. Come on, come on, what. You took his underwear?"
chandler, He took my essence!
ross," Okay, now hold on. Joey, why, why can't you just wear the underwear you're wearing now?"
joey," Because, I'm not wearing any underwear now."
ross," Okay, then why do you have to wear underwear tonight?"
joey, It's a rented tux. Okay. I'm not gonna go commando in another man's fatigues.
chandler," Well, then it looks like somebody is gonna have to give back somebody his cushions."
joey," Okay, you hide my clothes. I'm gonna do the exact opposite to you."
chandler," What are you, what are you gonna show me my clothes?"
joey," Hey, opposite, is opposite! "
chandler, He's got nothing!
phoebe,"  Okay, I'm ready."
ross," Oh, aaaah!"
phoebe," Rachel, didn't have anything that I liked, so, but she had this Christmas ribbon, and I thought, 'All right, fine I'll be political.'"
chandler, What are you supporting?
phoebe, Duh!! Christmas!
ross," Okay, hey, that's okay with me. Two down and I have exactly twelve minutes.... Wha, my watch stopped. My watch.  What time is it? It's 7"
rachel,"  Okay, Pheebs, quick, what shoes should I wear? The black or the purple?"
ross," Just, just, just pick one!"
phoebe," Okay, okay, okay, the black. But, oh, do you have black, with the little strappys?"
rachel," Yeahh, but, but those really go better with pants. Maybe I should wear pants?"
ross," Yeah, pants, what, what an idea. Or better yet, um, how 'bout you go without any pants. Look, I don't know what you're trying to do to me, but just get your butt in there and pick out any shoes that fit your feet, okay. No, no I don't care if they match. I don't care if they make your ankles or your knees or your earlobes look fat. Okay."
rachel, But I...
ross," No, no, no just do it. Go in there and pick something out so we can go."
rachel, All right.
ross, Thank you!
monica,"  Okay. I gotta call Michelle. I gotta see if that was her voice or not. I'm sorry, I just have to."
ross," It was, it was her voice."
chandler," Monica, I think you've gone over to the bad place."
monica, Okay. That was her right?
phoebe, Definitely.
monica," See there you go. Woo! We're out of the woods. Okay, I'll get dressed now."
ross, Yay!
phoebe," I'll get it, okay.  Oh, ew, it's Michelle! Ew! She, she must have that Caller Id thing. You should get that. "
monica,"  Oh, you're so sweet. Yeah, we were a great couple. I know I really miss him. Well, you know how it is, it's that...."
chandler,"  You know what's weird. Donald Duck never wore pants. But whenever he's getting out of the shower, he always put a towel around his waist. I mean, what is that about?"
monica,  That bitch always hated me. I'm calling her back.
ross," No, no, no, no. Tick, tick, tick, tick."
monica," Okay, fine. "
chandler," They got a phone in there, right?"
phoebe," Okay, we're on it. We're on it."
ross," Um. I know it says black tie optional, but, um this may be pushing it a little, um."
rachel, I'm not gonna gooo.
ross, You're not going to go.
rachel," No, I think I'm gonna catch up on my correspondence."
ross," How, how, um how can you not be going?"
rachel," I'm not gonna gooo, so I think that will accomplish the not going."
ross," Um, you know, just out of curiosity..."
rachel," Well, ever since I was humiliated and yelled at in front of my friends, I'm just, I don't know, not in a museum benefitty kind of mood."
ross," Right. Right, okay, okay. I'm sorry. I'm sorry I yelled."
rachel, It's fine.
ross," No, but, your-your mad."
rachel, I'm not mad. 
ross, No.
rachel, I'm just not going.
ross, Your not going.
rachel, Right.
ross, Okay. You know that I-I have to go.
rachel," Um, hum."
ross, Right. So is it gonna be like 'I'm abandoning you while your upset.'
rachel, No.
ross," No, because your not upset."
rachel, Right.
ross, About the yelling.
rachel," Right, and the humiliating."
ross," Oh, well of course, the humiliating. So, so wee, we're okay."
rachel," Um, hum."
ross, We're good.
rachel, Right.
ross, Okay. Honey?
rachel," Yes, Ross. "
ross, I love you. 
phoebe,  She's just getting dressed.
chandler, Is it wrong that I was totally aroused by that?
joey," Okay, buddy-boy. Here it is. You hide my clothes, I'm wearing everything you own."
chandler, Oh my God! That is so not the opposite of taking somebody's underwear!! 
joey, Look at me! I'm Chandler! Could I be wearing any more clothes? Maybe if I wasn't going commando...
chandler, Oooo-ooh!
joey," Yeah. Whew, it's hot with all of this stuff on. I ah, I better not do any, I don't know, lunges. "
ross," Okay, okay. Enough, enough with the lunging. No! I'm sick of this. Okay. I've had it up to here with you two! Neither you can come to the party!"
chandler," Jeez, what a baby."
joey," Yeah, Ross, way to ruin it. I was just going to get dressed."
ross," You know what I don't care. The only person I cared about getting dressed, is the one person that says she's not even gonna go. Look Rach, I'm sorry. Okay. Look, I-I wa, I was a jerk. I'm sorry I yelled. I want you there, I need you there. Look, what, what can I do that can show you how much, how much I want you to be there."
joey, You could drink the fat.
ross," Hi, welcome, to an adult conversation."
rachel," No, no, no, now wait, wa, wa, waa-it a minute, wait a minute, wait a minute, wait a minute. That actually, uh, that sounds interesting."
ross, What?
rachel, I think you should drink the fat.
joey, Yaaaay!
ross," Okay, okay. If that is what it takes to show you how much you mean to me, and how much I want you there. Then that's what I'll do."
phoebe," Oh, wait, let me get you another glass. That's been sitting out."
ross," I think this will be fine. Okay, vanilla milkshake, just a vanilla milkshake, with chicken bits floating in it. Cheers. "
rachel," No, no, no, wait! Okay, okay. Don't! I'll go, I'll go!"
ross, You will?!
rachel," You were really gonna do that, weren't you?"
ross," Well, yeah."
rachel, You were gonna drink the fat.
joey, Let's see what else he'll do!
ross,"  You, give him back his underwear! I'm gonna go get a cab, and I want everyone down stairs in two minutes! Monica! "
chandler, Stop it. Stop it!
phoebe," Ross, went to get a cab so we can all... No, wh-what are you doing! No, Monica, no!"
monica, Not any more!
monica," Hi, uh, Richard it's Monica, um, listen I did something kind of crazy tonight, um, maybe I'm getting my period or something, I don't know. Um, anyway, I, I, I beeped into your machine and I heard a message that, that freaked me out, and um, you know what Michelle will tell you the rest. I, I, um, I'm sorry, okay, I, I hope that we can forget the whole thing. Okay, bye."
monica," Outgoing! Did that say outgoing?! Not, outgoing!!!"
monica,"  """"Hi, uh, Richard it's Monica, um, listen I did something kind of crazy tonight, um, maybe I'm getting my period or something, I don't know."""" Nooo!!"""
phoebe, How did you do that?
monica, I don't know!
monica, Noooo!!!!
ross,"  Okay, okay, okay, I've got two cabs and no people. Go! Go! Go!"
monica, Maybe we could call the phone company. Maybe they could change the message. Maybe they can change his number. 
phoebe," Yeah, after this, I think he'll be doing that himself."
ross," Rachel!!  Wow! You, uh, you look, wow!"
rachel," And I still have about five seconds to spare.  Okay, that was about seven seconds."
ross, So we're a little late.
rachel," Come on.  Oh! And, uh, by the way...."
ross, What?
rachel," I'm going commando, too."
ross, Awwww!!!
ross, Wow! What a pleasure.
chandler, Excuse me. Hi.
chandler," Well, your kind of sitting in my seat."
chandler," I mean, I was sitting there."
chandler," But, I never left the room!"
chandler," All right, that's it, give me your underwear."
joey,  WHOAA!!
chandler,"  See Joe, that's why your parents told you not to jump on the bed."
monica," Hey, look at me. I'm making jam, been at it since 4 o'clock this morning."
ross, Where'd you get fruit at four in the morning?
monica, Went down to the docks. Bet ya didn't know you could get it wholesale.
rachel, I didn't know there were docks.
joey, Hey.
chandler, Hey.
ross," Aww, is it broken?"
joey," No, I gotta wear this thing for a couple weeks. "
rachel, Did you tell the doctor you did it jumping up and down on your bed?
joey, Nooo. I had a story all worked out but then Chandler sold me out.
chandler," Well, I'm sorry Joe. I didn't think the doctor was gonna buy that it just *fell* out of the socket."
joey, What is this? Fruit?
rachel, Monica's making jam.
joey," Whoa, jam! I love jam!  Hey, how come we never have jam at our place?"
chandler, Because the kids need new shoes.
monica," I'm going into business people. I'm sick and tired of being depressed about Richard. I needed a plan, a plan to get over my man. What's the opposite of man? Jam. "
joey, This will just be my batch.
phoebe,"  Um, that's it. No. Hey! You! J. Crew guy. Yeah. Why have you been following me? I mean, all week long everywhere I look there's you."
phoebe, What?
phoebe," Oooh. Oh, well this is awkward. "
phoebe," Um, yeah, you want Ursula, and I'm Phoebe. Twin sisters! Seriously."
phoebe," Oh, you're not a dingus."
phoebe," Well, I mean look it's, it's not your fault, you know. I mean this is just what, what she does to guys, okay."
phoebe," Wait,  you know what, I got a little story. When I was in Junior High School I went through this period where I thought I was a witch. And there was this guidance counselor who said something to me, that I think will help you a lot. He said okay, 'you're not a witch you're just an average student.' See what I'm saying?"
phoebe," Um, well, get over it. So, I mean you, you just seem to be a really nice guy, you know. Don't be so hard on yourself okay."
phoebe," Oh, thanks a lot. Do you want to get a cup of coffee?"
phoebe," Okay.  Okay, you don't have to walk behind me any more."
rachel, Mon?
ross, Mon?
rachel,  'Gone for more jars. Back later. Monica Geller.'
ross," Wait a minute, look."
rachel, What?
ross," Look, look, look."
rachel," What, what, what?"
ross, It's an empty apartment.
rachel, Oooh.
ross, We're all alone in an empty apartment.
rachel," Honey, come on, I have to be at work in like ten minutes  Oh, all right, well it's not like I'm employee of the year or anything."
ross, There it is.
rachel," Oh, oh, that's what you're talking about.  Hey."
ross, Hey.
chandler, Do I look fat?
ross, Noo.
chandler," Okay, I accept that. When Janice asked me and I said no, she took that to mean that I was calling her a cow. "
rachel," Okay, walk us through it, honey, walk us through it."
chandler," Okay, well. Janice said 'Hi, do I look fat today?' And I, I looked at her...."
ross," Whoa, whoa, whoa. You looked at her. You never look. You just answer, it's just a reflex. Do I look fat? Nooo! Is she prettier than I am? Noo! Does size matter?"
rachel, Nooo!
ross, And it works both ways.
chandler," Okay, so you both just know this stuff?"
rachel," Well you know, after about thirty or forty fights, you kinda catch on."
ross," Okay, for instance. Let's say, Janice is coming back from a trip and she gives you two options. Option number 1 she'll take a cab home from the airport. Option 2 is you can meet her at baggage claim. Which do you do?"
chandler," That's easy, baggage claim."
ross,"  Wrong! Now you're single. It's actually secret option number three, you meet her at the gate. That way she knows you love her."
chandler," Okay, this is good, this is good. All right listen, I have one. Janice likes to cuddle, at night, which, you know I'm all for. But, uh, you know when you want to go to sleep, you want some space. So, uh, how do I tell her that without, you know, accidentally calling her fat or something."
rachel," Oh honey, I'm sorry we can't help you there, 'cause we're cuddlily sleepers.  Okay, I'm late for work."
ross, Oh.
rachel, All right are you guys gonna come down?
ross," Uh, yeah, yeah I'll, I'm right behind you."
rachel, Good luck Chandler.
chandler, Thank you Rachel.
ross, Bye sweetie.
rachel, Bye hon.
ross,"  Okay the sleeping thing. Very tricky business, but there is something you can do."
chandler," Well, I thought you guys were cuddlily sleepers."
ross," Noo! No, not cuddlily, not me, just her. I'm like you, I need the room. Okay, come here.  Okay, you're in bed..."
chandler, Yeah. 
ross, I'm gonna use the cushion.
chandler, Yeah.
ross," Okay, you're in bed. She's over on your side, cuddling. Now you wait for her to drift off, and then you hug her  and roll her back over to her side of the bed. And then you rollll a-way. Hug for her! Roll for you."
chandler," Okay, the old hug and roll."
ross, Yep.
chandler," Okay, one question."
ross, Shoot.
chandler, You're pretending the pillow's a girl right?
joey, Remember when you where a kid and your Mom would drop you off at the movies with a jar of jam and a little spoon?
rachel,  You're so pretty.
phoebe,  Hi!
phoebe," Hey, oh, you know that guy who's been following me? I talked to him today."
