episodes,speakers,dialogue
031,rachel," Yes, Joey, I remember, she's annoying, but you know what she's-she's his girlfriend now. I mean what can we do?"
031,joey, There you go! That's the spirit I'm looking for! What can we do? Huh? All right who's first? Huh? Ross?
031,ross," Well I'm thinking that Chandler's our friend and Janice makes him happy, so I say we just all be adult about it and accept her."
031,joey," Yeah, we'll call that Plan B. All right?"
031,rachel,"  Honey, I was wondering...."
031,ross, Hmm?
031,rachel," Do you still have that, um, Navy uniform?"
031,ross," Nooo, I had to return it to the costume place."
031,rachel, Hmm.
031,ross, I think I have an old band uniform from high school.
031,rachel," You remember not having sex in high school, right?"
031,ross, Yeah.
031,rachel," Well honey, what about you?"
031,ross, What?
031,rachel," I mean do you have any fun, you know, fantasy type things?"
031,ross, No.
031,rachel, Come on you gotta have one!
031,ross, Nope.
031,rachel," Ross, you know what..."
031,ross, What?
031,rachel," ...if you tell me, I might do it."
031,ross," Okay, umm. Did you ever see, um, Return Of The Jedi?"
031,rachel, Yeah.
031,ross," Do you remember the scene with, um, Jabba the Hut? Well Jabba had as, as his prisoner, um, Princess Leia. "
031,rachel, Oooh!
031,ross," Princess Leia, was wearing this, um, gold bikini thing. It was pretty cool."
031,phoebe," Yeah, oh, Princess Leia and the gold bikini, every guy our age loved that."
031,rachel, Really!
031,phoebe," Um, um. It's huge. Yeah, that's the moment, when-when, you know she stopped being a princess, and became, like, a woman, you know."
031,rachel, Did you ever do the-the Leia thing?
031,phoebe," Oh, yeah, um-mm. Oh!"
031,rachel, Really! That-that great huh?
031,phoebe, No it's just that I got this new pager and I have it on vibrate. See ya!
031,ross,  Hey!
031,rachel, Hi you guys!
031,ross, Look who I found standing outside of the Szechwan Dragon staring at a parking meter.
031,rachel, Mon. Hi! 
031,monica, Hi.
031,rachel, Why aren't you at work?
031,monica," Oh, they-they sent me home."
031,rachel, Why?
031,monica, Because I don't work at the Szechwan Dragon.
031,ross, Okay.
031,rachel," You really, really need to get some sleep, honey."
031,monica, I know I do.
031,ross, Hi.
031,rachel, Hi.
031,ross, Guess what?
031,rachel, What?
031,ross, They published my paper.
031,rachel," Oh, really, let me see, let me see."
031,phoebe," Rach, look!  Oh, hi! Where is my strong Ross Skywalker to come rescue me."
031,chandler, Hey!
031,joey, Wheel!
031,chandler, Of!
031,joey, Fortune! This guy is so stupid.  It's Count Rushmore!!
031,chandler," You know, you should really go on this show. All right, listen, I got three tickets to the Rangers tonight. What'd ya' say?"
031,joey," I say, 'I am there!' Cool! Aw, is Ross going to?"
031,chandler," No, Janice."
031,joey," Jan-ice. 'Cause I, just, I feel bad for Ross, you know, we-we always go together, we're like the three hocke-teers."
031,chandler," You know, I may be way out on a limb here, but do you, do you, have a problem with Janice?"
031,joey," No, Yeeees. God, how do I say this. ?"
031,chandler," Ooh, that girl that I hate, eww, drives me crazy, eww, eww, oh!"
031,joey," Look, I don't hate Janice, she's-she's just a lot to take, you know."
031,chandler," Well, there you go."
031,joey," Oh, hey. Come on man, don't look at me like that, she used to drive you nuts before too, remember?"
031,chandler," Well, I'm crazy about her now. I think this could be the real thing. Capital 'R'! Capital 'T'!  Don't worry, those are the right letters."
031,joey," Look, what do you want me to say?"
031,chandler, I want you to say that you like her!
031,joey," I can't. It's like this chemical thing, you know. Every time she starts laughing, I just wanna  pull my arm off just so that I can have something to throw at her. "
031,chandler," Thanks for trying.  Oh, and by the way there is no Count Rushmore!"
031,joey," Yeah, then-then who's the guy that painted the faces on the mountain?"
031,ross, How could you have told her? 
031,rachel," Ross, I didn't think it would that big of a deal."
031,ross," Oh, she didn't think it would be that big of deal."
031,rachel," Okay, who are you talking to when you do that?"
031,ross," Look, that was supposed to be like a private, personal thing between us."
031,rachel," Okay, Ross, Phoebe is my girlfriend, okay, we tell each other everything. You know, I mean, come on, guys do the same thing, I mean, what about all that locker room stuff."
031,ross," That's different, okay. That's like, uh 'Who dated a stripper?' or 'Who did it on the back of the Staton Island Ferry?'."
031,rachel, Were both of those Joey?
031,ross," Yeah. Look, you don't, you don't talk about like, you know, your girlfriend and the intimate stuff you, you do with her."
031,rachel, Not even with your best friend.
031,ross, Noo!
031,rachel," That is so sad. Your missing out on so much, Ross. I mean, the bonding and the sharing, you know. And-and knowing that someone else is going through the same thing you are."
031,ross," Hmph. So what you, you tell each other everything?"
031,rachel, Pretty much.
031,ross, Did you talk about the night of five times? Do you tell people about the night of five times? 
031,rachel," Uh, honey, yeah that was with Carol."
031,ross," I know, but it's still worth mentioning, I think."
031,phoebe,"  Relax every muscle in your body. Listen to the plinky-plunky music. Okay, now close you eyes, and think of a happy place. Okay, tell me your happy place."
031,monica," Richard's living room, drinking wine."
031,phoebe," All right. No, no, no, not a Richard thing, just put down the glass. And get out!"
031,monica," I'm sorry, but that's my happy place."
031,phoebe," Well, okay, fine, use my happy place. Okay, I'm just gonna, I have to ask that you don't move anything."
031,monica," All right, I'll try not to."
031,phoebe," Okay, all right, so, your in a meadow, millions of stars in the sky...."
031,monica, Do you think breaking up with him was a huge mistake?
031,phoebe," All right, there are no questions in the happy place. Okay, just, the warm breeze, and the moonlight flowing through the trees...."
031,monica," I'll bet he's totally over me, I'll bet he's fine."
031,phoebe," All right, betting and wagering of any kind, are, I'm sure, not permitted in the happy place. Okay. Just-just, you know, the-the lovely waterfalls, and the, the trickling fountains. And the-the calming sounds of the babbling brook...."
031,monica," Okay, this isn't working. I'm still awake and now I have to pee."
031,other," So, I hear, you hate me!"
031,joey," I, ah, I never said hate, I was very careful about that."
031,other, A little birdie told me something about you wanting to rip your arm off and throw it at me.
031,joey, And you got a 'hate' from that?! Your taking a big leap there...
031,other, you and me spending some quality time together.
031,joey, But what does that gonna do...
031,other, For Chandler!
031,joey, Okay. I'm in.
031,other, 'Joey and Janice's DAY OF FUN!'
031,joey, Does it have to be a whole day?
031,other," Yes, because that's how long it takes to love me."
031,joey," Yeah, I know, I sleep in the next room."
031,monica,"  So, I went down to the post office, and it turns out it was those videos that I ordered for Richard about the Civil War. He loved the Civil War."
031,phoebe," Monica, do you want us to take you home?"
031,monica," Uh, huh. "
031,ross, Women tell each other everything. Did you know that?
031,chandler," Umm, yeah."
031,ross," No Chandler, everything! Like stuff you like, stuff she likes, technique, stamina, girth...."
031,chandler," Girth? Why, why, why, wh-why, why, why, why would they do this? "
031,ross," Rachel says sharing's great and supposedly, you know, we outta be doing it. Do you wanna?"
031,chandler, We're not gonna talk about girth are we?
031,ross, Nooo!
031,chandler," Yeah, okay."
031,ross, Yeah?
031,chandler, Yeah! All right! You go first.
031,ross," Okay, okay, I'll go first."
031,chandler, Okay.
031,ross," So, uh, the other night Rachel and I are in bed talking about fantasies, and I happened to describe a particular Star Wars thing...."
031,chandler, Princess Leia in the gold bikini.
031,ross, Yes! 
031,chandler, I know!
031,ross," Yes! Wow, well, that-that was easy. Okay, you-you go."
031,chandler, Okay.
031,ross, Okay.
031,chandler," Okay, you know, you know when your in bed, with a woman."
031,ross, Hmph.
031,chandler," And, ah, you know, your fooling around with her. And you get all these like, mental images in your brain, you know, like Elle MacPherson, or that girl at the Xerox place...."
031,ross," With the belly-button ring? Oh, muhawa!"
031,chandler," I know, And then all of the sudden your Mom pops into your head. And your like 'Mom, get outta here!' You know, but of course, like, after that you can't possibly think of anything else, and you can't, you know, stop what your doing. So it's kinda like, you're, you know. You know.... You don't know!"
031,ross," Your Mom, your telling me, your telling me, about your Mom, what is the matter with you?"
031,chandler, You said...
031,ross, I said 'share' not 'scare'. Go sit over there! .
031,other, We're baack!
031,joey, Hey!
031,chandler, What are you guys doing together?
031,other, Joey and Janice's DAY OF FUN!!! 
031,chandler, Really.
031,joey," Yeah, yeah. We went to a Mets game, we got Chinese food, and you know, I love this woman. You have got competition buddy."
031,other," I just came by to give you a kiss, I have to go pick up the baby, so. I'll see you later sweetheart, you too Chandler. "
031,chandler, You still can't stand her can you?
031,joey," I'm sorry man, I tired, I really did."
031,chandler," Well, you know, I appreciate you giving it a shot."
031,joey," But, hey, look, you know the good thing is, is that we spent the whole day together and I survived, and what's even more amazing, so did she. It was bat day at Shea Stadium."
031,chandler," Well, I guess that's something."
031,joey," No man, that's huge! Now, I know I can stand to be around her, which means I get to hang out with you, which is kinda the whole point, anyway."
031,chandler, Okay.
031,joey," Oh, hey, Chandler, we, ah, we stopped by the coffee shop and ran into Ross."
031,chandler, Oh God!
031,joey," Hey, if it makes you feel any better, I do it too."
031,chandler, Really?
031,joey," Oh yeah, I always picture your Mom when I'm having sex."
031,other,"April Twelve, Eighteen hundred, Sixty-One (Monica lights"
031,other,"30 A.M. on Tuesday, the United States garrison at Fort Sumter was fired upon  it is now under bombardment by.... "
031,monica," Hi, Dad, what are you doing here?"
031,other," Well, it's your mother's bridge night so I thought that I would come into the city for a little Monicuddle.  Since when did you start smoking cigars?"
031,monica," I don't, I just, I just like the smell of them. So, uh, what are you really doing here Dad?"
031,other," Well, I just wanted to make sure you were okay."
031,monica, What makes you think that I might not be okay?
031,other, I saw Richard.
031,monica, Oh.
031,other," So, how are you doing?"
031,monica," I'm fine, just a little tired, I'm okay. How's Richard doing?"
031,other, You don't wanna know.
031,monica," No, I really, really do."
031,other," Well, he's doing terrible!"
031,monica, Really!
031,other, Worse than when he broke up with Barbara.
031,monica, You're not just saying that are you?
031,other," No, the man is a mess."
031,monica, Was he crying?
031,other, No.
031,monica," Well, do you think he was waiting 'til after you left, so he could cry?"
031,other, Maybe.
031,monica, I think so.
031,other," Honey, relationships are hard. Like with your Mom and me. You know after we graduated college we broke up for a while. It seems her Father, your Grandfather, wanted her to travel around Europe, like he did. Of course, he got to do it on Uncle Sam's nickel, because he was also strafing German troop trains at the time. However, "
031,rachel," Okay, here we go. I'm Jabba's prisoner, and you have a really weird look on your face. What? Honey, what is it? Did I get it wrong? Did I get the hair wrong? What? Did you just picture it differently? What? What?"
031,ross," No, no it's, um, it's not you, um, it's um, it's "
031,other," Well what is it? Come on sweetie, your like, freaking me out here."
031,ross," I hate Chandler, the bastard ruined my life. "
032,joey," All right they got water, orange juice, and what looks like cider. "
032,chandler, Taste it.
032,joey,"  Yep, it's fat. I drank fat!"
032,chandler," Yeah, I know, I did that two minutes ago."
032,ross,  Hey!
032,chandler," Hey, mister tux!"
032,ross, Why aren't you guys dressed?
032,joey, We have a half hour.
032,ross," No, four minutes ago you had a half hour, we have to be out the door at twenty to eight. "
032,joey," Relax Ross, we'll be ready. It only takes us two minutes to get dressed."
032,ross," Well, you know, I'd feel a whole lot better if you got dressed now."
032,joey, Okay. 
032,rachel,"  Hey-hey! Oh, look at you, all sexy."
032,ross, Really.
032,rachel," Ooooh! Wow!! Oh, hi."
032,ross, Hi.
032,rachel, How come you didn't come over earlier?
032,ross," 'Cause, I'm a stupid, stupid man."
032,joey," Hey, Ross, want some cider?"
032,ross," No.  So, um, let's see your pretty close, huh. Make-up's on, hair's done. "
032,rachel," Yeah, I just have to get dressed."
032,ross, Yay! And that takes what? Just six or seven minutes.
032,rachel," Yeah! Once, I figure out what I'm wearing."
032,joey, Glass of fat?
032,joey, What's a matter Ross? What you're nervous about your speech?
032,ross, No! Do you wanna hear it?
032,joey, Am I in it?
032,ross," Uh, huh. Yeah, right after I thank everyone for giving money to the museum, I sing a song about the wonder that is Joey."
032,phoebe,  Hello.
032,ross, Hey!
032,joey, Whoa!
032,ross," Wow, hello! You look great!"
032,phoebe," Thank you! I know, though."
032,ross," You see this, this is a person who is ready to go. Phoebe you, oh, you are my star."
032,phoebe," Ohh, well, you're my lucky penny."
032,chandler,  Get up.
032,joey, What?
032,chandler, You're in my seat.
032,joey, How is this your seat?
032,chandler, 'Cause I was sitting there.
032,joey, But then you left.
032,chandler," Well, it's not like I went to Spain. I went to the bathroom, you knew I was coming back."
032,joey," What's the big deal, sit somewhere else."
032,chandler," The big deal is I was sitting there last, so, that's my seat."
032,joey," Well, actually the last place you were sitting was in there . Soo..."
032,ross," You guys, you know what, you know what, it doesn't matter, because you both have to go get dressed before the big vain in my head pops. So.."
032,chandler," All right, Ross, I just have to do one thing, really quickly, it's not a big deal.  GET UP!!"
032,monica,  Hi.
032,other, Hey.
032,monica," Ooh, Phoebe, you look great!"
032,phoebe, All right all ready.
032,monica,"  Ooh, are you gonna do magic?"
032,ross," That's, that's funny. Change!"
032,monica, Hang on a second I just got in.
032,ross," Look, I don't care it starts at eight, we can't be late."
032,phoebe," We could not, would not want to wait."
032,ross," Look, our table is down in front, okay, my boss is gonna be there, everyone will see if we arrive after it starts."
032,monica, Has somebody been drinking my fat? 
032,rachel,  does this look like something the girlfriend of a paleontologist would wear?
032,phoebe," I don't know, you might be the first one."
032,monica," Rach, did you check the machine?"
032,rachel," Uh, no. Wait, you know what, this is the outfit that makes my calves look fat. Nevermind."
032,chandler, Get Up.
032,joey, All right! You can have the chair.
032,chandler, Really!
032,joey," Oh my, would you look at that! "
032,phoebe,"  Is that too spooky?"""
032,ross,"  """"Hi Rach, are you there? It's me, pick up. Rachel. Rach!"""""""
032,rachel,  What?!
032,ross, Nevermind.
032,other,"  """"Monica, it's Richard. Call me."""""""
032,monica, Is-is-is that message old or new?  Old or new?! Old or new?!
032,ross," It's old, it's definitely old. Didn't you hear the, the double beep?"
032,monica," What if it's new? I mean, we agreed not to talk again, unless we had something really important to say. Shouldn't I call him back?"
032,chandler," Honey, you did call him back. 'Cause, it's, it's really old."
032,ross," Yeah, see Mon, listen, listen. When Carol and I broke up, I went through the same thing. And you know what I did?"
032,monica, Huh?
032,ross," I.....got.....dressed. Really, really quickly. Okay, okay.  There we go, there we go."
032,chandler," You know what, okay, fine. Don't get up, you just sit right there. I just hope, you don't mind, you know, my hand right here. "
032,phoebe, Ah! Oh my God! You r-r-rotten boys!
032,joey, Sorry Phoebe.
032,joey, I'm so sorry.
032,phoebe, What am I gonna do?
032,ross," No, no, don't, don't, rub it! Don't!  What gets out hummus?! What gets out hummus?!"
032,phoebe," Monica, Monica, you know what gets out hummus."
032,monica," If it is a new message, what is he calling to say?"
032,phoebe," Okay, thanks. Yeah, I'll try that."
032,chandler, Maybe he's calling to say your obsessive and crazy.
032,monica," So, should I call him back?"
032,other, Noo!  NO!
032,chandler," All right, fine, you know what, we'll both sit in the chair.  I'm soooo, comfortable."
032,joey," Me too. In fact, I think I might be a little too comfortable."
032,chandler, All right! 
032,ross," Okay, look, we have nineteen minutes. Okay, Chandler, I want you to go and change! Okay. And then, when you come back, Joey will go change, and he'll have vacated the chair. Okay. Okay."
032,chandler," All right! Fine! I'm going. But when I get back it's chair sitting, and I'm the guy who's....sitting in a chair! "
032,rachel,"  Pheebs, what happened?"
032,phoebe, Hummus. I got the hummus.
032,rachel," Ooooh! Honey, well we'll find you something. Do you wanna wear my black jacket? "
032,phoebe, That won't go with this dress though.
032,rachel," No, you're right. Well, we'll find something. Let's just get you out of that. Come on."
032,ross," No, no, no, no, no, no, not out of that, not out of clothes."
032,rachel," Monica, can Phoebe borrow your green dress?"
032,monica, I called him.
032,other, Nooo.
032,monica," Yes. Well I got his machine and I left a message. But it's okay, it's okay, it's okay, because you know it was like a casual, breezy message. It was breezy! Oh God, what if it wasn't breezy? "
032,phoebe," Well, how could it not be breezy, no, 'cause, you're, you're in such a breezy place."
032,monica," Here, I got it. I'll will play my message for you guys, and you can tell me if it's breezy enough."
032,joey," Monica, how are you gonna do that?"
032,monica, I know the code to his answering machine.
032,ross," Okay, Mon, I really don't think this is the... Okay, you're dialing, you are dialing."
032,other,"  """"Hi, this is Richard. Please, leave a message at the tone."""""""
032,other," """"You have two new messages."""""""
032,joey," Wow, what a cool job.  'You have two new messages.' 'Please, pass the pie.'"
032,monica,"  """"Hi, it's Monica. I'm just checking in 'cause I got this message from you and I didn't know if it was old or new or what. So, I'm just checkin'. So let me know, or don't, whatever. I'm breezy."""""""
032,joey," Hey, you can't say you're breezy, that, that totally negates the breezy."
032,other,"  Hola, it's me, yesterday was really fun. Call me about this weekend, okay."
032,joey, Now she sounded breezy. Commercial Break
032,monica, He's seeing someone. I can't believe he's seeing someone.
032,phoebe," Monica, you don't know that."
032,monica," Well, who's voice was that?"
032,chandler," Maybe it was his sister's. You know, maybe it was his daughter's."
032,monica," Michelle! Of course, it was Michelle! Did it sound like Michelle?"
032,ross," Oh, great. It's starting to rain, that will make it easy to get a cab."
032,monica, It was Michelle. It was definitely Michelle.
032,rachel," Pheebs, you go with Monica and try on her green dress. If that doesn't work, you can wear my gray silk one. Oh, gosh, what am I wearing?!"
032,ross," You don't, you don't know what your wearing?"
032,rachel," Well, hon-ey. I'm just trying to look nice for your big night."
032,ross," Yeah, which, which we have to leave for in exactly twelve minutes. All right, come on, I'll just pick something out for you."
032,chandler," All right, you will notice that I am fully dressed. I, in turn, have noticed that you are not. So in the words of A. A. Milne, """"Get out of my chair, dillhole!"""""""
032,joey, Okay. 
032,chandler, What are you doing?
032,joey," You said I had to give you the chair, you didn't say anything about the cushions."
032,chandler, The cushions are the essence of the chair!
032,joey, That's right! I'm taking the essence.
032,chandler," Oh-ho, it'll be back. Oh-ho, there's nobody in the room."
032,ross," Look, I'm sorry, I thought it looked pretty."
032,rachel," Ross, that was a Halloween costume, unless you would like me to go to this thing as Little Bo Peep."
032,ross," Look, I didn't recognize it without that inflatable sheep."
032,rachel," Yeah, which, by the way Chandler, I would like back one of these days."
032,phoebe," Oh Rach, good, listen isn't this perfect for me! "
032,rachel," Oh, it's perfect! But not for tonight."
032,phoebe," Well, of course not for tonight. Yeah, hi!"
032,ross," Not for tonight. Not for tonight! Wh-what, what, what, are you doing?"
032,rachel," No honey, we're sorry, we didn't mean it. I love you. I love you."
032,chandler, We used them as pillows when we went camping.
032,ross, What?
032,chandler,  The sheep.
032,ross," Hey, what you do on your own time..."
032,joey,  Where's my underwear?!
032,ross," Whoa, whoa, whoa. Come on, come on, what. You took his underwear?"
032,chandler, He took my essence!
032,ross," Okay, now hold on. Joey, why, why can't you just wear the underwear you're wearing now?"
032,joey," Because, I'm not wearing any underwear now."
032,ross," Okay, then why do you have to wear underwear tonight?"
032,joey, It's a rented tux. Okay. I'm not gonna go commando in another man's fatigues.
032,chandler," Well, then it looks like somebody is gonna have to give back somebody his cushions."
032,joey," Okay, you hide my clothes. I'm gonna do the exact opposite to you."
032,chandler," What are you, what are you gonna show me my clothes?"
032,joey," Hey, opposite, is opposite! "
032,chandler, He's got nothing!
032,phoebe,"  Okay, I'm ready."
032,ross," Oh, aaaah!"
032,phoebe," Rachel, didn't have anything that I liked, so, but she had this Christmas ribbon, and I thought, 'All right, fine I'll be political.'"
032,chandler, What are you supporting?
032,phoebe, Duh!! Christmas!
032,ross,"33, I have seven minutes. I have seven minutes!!"
032,rachel,"  Okay, Pheebs, quick, what shoes should I wear? The black or the purple?"
032,ross," Just, just, just pick one!"
032,phoebe," Okay, okay, okay, the black. But, oh, do you have black, with the little strappys?"
032,rachel," Yeahh, but, but those really go better with pants. Maybe I should wear pants?"
032,ross," Yeah, pants, what, what an idea. Or better yet, um, how 'bout you go without any pants. Look, I don't know what you're trying to do to me, but just get your butt in there and pick out any shoes that fit your feet, okay. No, no I don't care if they match. I don't care if they make your ankles or your knees or your earlobes look fat. Okay."
032,rachel, But I...
032,ross," No, no, no just do it. Go in there and pick something out so we can go."
032,rachel, All right.
032,ross, Thank you!
032,monica,"  Okay. I gotta call Michelle. I gotta see if that was her voice or not. I'm sorry, I just have to."
032,ross," It was, it was her voice."
032,chandler," Monica, I think you've gone over to the bad place."
032,other, Hola! Hello. Hello?
032,monica, Okay. That was her right?
032,phoebe, Definitely.
032,monica," See there you go. Woo! We're out of the woods. Okay, I'll get dressed now."
032,ross, Yay!
032,phoebe," I'll get it, okay.  Oh, ew, it's Michelle! Ew! She, she must have that Caller Id thing. You should get that. "
032,monica,"  Oh, you're so sweet. Yeah, we were a great couple. I know I really miss him. Well, you know how it is, it's that...."
032,chandler,"  You know what's weird. Donald Duck never wore pants. But whenever he's getting out of the shower, he always put a towel around his waist. I mean, what is that about?"
032,monica,  That bitch always hated me. I'm calling her back.
032,ross," No, no, no, no. Tick, tick, tick, tick."
032,monica," Okay, fine. "
032,chandler," They got a phone in there, right?"
032,phoebe," Okay, we're on it. We're on it."
032,ross," Um. I know it says black tie optional, but, um this may be pushing it a little, um."
032,rachel, I'm not gonna gooo.
032,ross, You're not going to go.
032,rachel," No, I think I'm gonna catch up on my correspondence."
032,ross," How, how, um how can you not be going?"
032,rachel," I'm not gonna gooo, so I think that will accomplish the not going."
032,ross," Um, you know, just out of curiosity..."
032,rachel," Well, ever since I was humiliated and yelled at in front of my friends, I'm just, I don't know, not in a museum benefitty kind of mood."
032,ross," Right. Right, okay, okay. I'm sorry. I'm sorry I yelled."
032,rachel, It's fine.
032,ross," No, but, your-your mad."
032,rachel, I'm not mad. 
032,ross, No.
032,rachel, I'm just not going.
032,ross, Your not going.
032,rachel, Right.
032,ross, Okay. You know that I-I have to go.
032,rachel," Um, hum."
032,ross, Right. So is it gonna be like 'I'm abandoning you while your upset.'
032,rachel, No.
032,ross," No, because your not upset."
032,rachel, Right.
032,ross, About the yelling.
032,rachel," Right, and the humiliating."
032,ross," Oh, well of course, the humiliating. So, so wee, we're okay."
032,rachel," Um, hum."
032,ross, We're good.
032,rachel, Right.
032,ross, Okay. Honey?
032,rachel," Yes, Ross. "
032,ross, I love you. 
032,phoebe,  She's just getting dressed.
032,chandler, Is it wrong that I was totally aroused by that?
032,joey," Okay, buddy-boy. Here it is. You hide my clothes, I'm wearing everything you own."
032,chandler, Oh my God! That is so not the opposite of taking somebody's underwear!! 
032,joey, Look at me! I'm Chandler! Could I be wearing any more clothes? Maybe if I wasn't going commando...
032,chandler, Oooo-ooh!
032,joey," Yeah. Whew, it's hot with all of this stuff on. I ah, I better not do any, I don't know, lunges. "
032,ross," Okay, okay. Enough, enough with the lunging. No! I'm sick of this. Okay. I've had it up to here with you two! Neither you can come to the party!"
032,chandler," Jeez, what a baby."
032,joey," Yeah, Ross, way to ruin it. I was just going to get dressed."
032,ross," You know what I don't care. The only person I cared about getting dressed, is the one person that says she's not even gonna go. Look Rach, I'm sorry. Okay. Look, I-I wa, I was a jerk. I'm sorry I yelled. I want you there, I need you there. Look, what, what can I do that can show you how much, how much I want you to be there."
032,joey, You could drink the fat.
032,ross," Hi, welcome, to an adult conversation."
032,rachel," No, no, no, now wait, wa, wa, waa-it a minute, wait a minute, wait a minute, wait a minute. That actually, uh, that sounds interesting."
032,ross, What?
032,rachel, I think you should drink the fat.
032,joey, Yaaaay!
032,ross," Okay, okay. If that is what it takes to show you how much you mean to me, and how much I want you there. Then that's what I'll do."
032,phoebe," Oh, wait, let me get you another glass. That's been sitting out."
032,ross," I think this will be fine. Okay, vanilla milkshake, just a vanilla milkshake, with chicken bits floating in it. Cheers. "
032,rachel," No, no, no, wait! Okay, okay. Don't! I'll go, I'll go!"
032,ross, You will?!
032,rachel," You were really gonna do that, weren't you?"
032,ross," Well, yeah."
032,rachel, You were gonna drink the fat.
032,joey, Let's see what else he'll do!
032,ross,"  You, give him back his underwear! I'm gonna go get a cab, and I want everyone down stairs in two minutes! Monica! "
032,chandler, Stop it. Stop it!
032,phoebe," Ross, went to get a cab so we can all... No, wh-what are you doing! No, Monica, no!"
032,other,"  Hi, this is Richard."
032,other, You have three new messages.
032,monica, Not any more!
032,other, Message erased. To record a message begin speaking at the tone.
032,monica," Hi, uh, Richard it's Monica, um, listen I did something kind of crazy tonight, um, maybe I'm getting my period or something, I don't know. Um, anyway, I, I, I beeped into your machine and I heard a message that, that freaked me out, and um, you know what Michelle will tell you the rest. I, I, um, I'm sorry, okay, I, I hope that we can forget the whole thing. Okay, bye."
032,other, Your outgoing message has now been changed.
032,monica," Outgoing! Did that say outgoing?! Not, outgoing!!!"
032,monica,"  """"Hi, uh, Richard it's Monica, um, listen I did something kind of crazy tonight, um, maybe I'm getting my period or something, I don't know."""" Nooo!!"""
032,phoebe, How did you do that?
032,monica, I don't know!
032,other, Good-bye.
032,monica, Noooo!!!!
032,ross,"  Okay, okay, okay, I've got two cabs and no people. Go! Go! Go!"
032,monica, Maybe we could call the phone company. Maybe they could change the message. Maybe they can change his number. 
032,phoebe," Yeah, after this, I think he'll be doing that himself."
032,ross," Rachel!!  Wow! You, uh, you look, wow!"
032,rachel," And I still have about five seconds to spare.  Okay, that was about seven seconds."
032,ross, So we're a little late.
032,rachel," Come on.  Oh! And, uh, by the way...."
032,ross, What?
032,rachel," I'm going commando, too."
032,ross, Awwww!!!
032,other," Dr. Geller, Sherman Whitfield, London Institute."
032,ross, Wow! What a pleasure.
032,other,"  Well, I have to tell you, I was quite impressed with your paper on Pre-Cretaceous fossils. Yeah, it confirmed everything that I have written."
032,chandler, Excuse me. Hi.
032,other, Yes?
032,chandler," Well, your kind of sitting in my seat."
032,other," What do you mean, your seat?"
032,chandler," I mean, I was sitting there."
032,other," But, you got up!"
032,chandler," But, I never left the room!"
032,other," But, you left the chair area."
032,chandler," All right, that's it, give me your underwear."
033,joey,  WHOAA!!
033,chandler,"  See Joe, that's why your parents told you not to jump on the bed."
033,monica," Hey, look at me. I'm making jam, been at it since 4 o'clock this morning."
